Price,Vol.,SN&P Adjusted,DXY Adjusted,GOLD Adjusted,ETH Price,ETH Vol.,OIL Price Adjusted,Days from the last halving,TV2,TV
63135,38.01,5094.2,103.799,2083.39,3488.67,363.55,79.97,1392,61994.0,0
24442,170.59,4219.8,108.474,1801.76,1983.5,798.08,92.09,824,24398.0,0
10164,318.82,2978.6,96.744,1493.9,210.43,9.78,58.11,1166,10195.0,0
68270,130.86,5127.2,103.778,2114.99,3626.34,769.53,78.74,1393,63135.0,0
10172,362.07,2984.7,96.961,1517.15,218.0,9.1,58.09,1168,10250.0,0
32131,118.34,4331.1,93.12,1803.31,1994.49,1.51,70.3,436,29793.0,1
6854,134.23,2635.8,93.209,1340.05,415.45,709.22,65.51,640,6781.0,1
2559,135.5,2474.9,92.896,1261.1,203.33,685.64,48.75,382,2582.0,1
69442,112.88,5213.9,104.064,2194.02,3500.43,460.87,81.35,1416,69999.0,0
8215,155.24,2808.3,92.981,1223.38,466.41,1.04,68.69,750,8234.0,0
1415,100.44,2384.8,95.849,1256.8,81.4,1.26,48.84,296,1351.0,0
9080,723.17,2905.4,97.402,1346.48,264.59,7.39,53.9,1074,9318.0,1
24689,2.4,3689.3,90.54,1875.82,626.93,1.7,48.23,228,23736.0,0
11364,747.71,3001.9,97.49,1415.74,269.16,7.84,60.21,1099,11762.0,1
28424,164.31,4049.3,100.999,1989.48,1866.05,958.23,74.3,1080,28298.0,0
3937,2.86,2785.0,96.585,1321.9,134.25,11.49,58.82,989,3994.0,0
10776,55.55,3340.5,93.381,1885.44,359.39,5.43,40.22,142,10840.0,0
6514,4.02,2867.3,96.231,1200.14,229.6,5.81,67.77,789,6706.0,1
4352,46.16,2442.2,94.517,1291.15,332.72,315.62,47.87,413,4364.0,0
39115,41.55,4286.8,98.027,1887.56,2776.96,520.44,91.59,656,39209.0,0
16467,107.92,2652.0,88.17,1252.85,686.51,1.73,57.04,523,16286.0,1
8760,907.96,2820.2,96.207,1285.2,270.98,11.58,59.16,1052,8630.0,1
8353,505.02,2962.9,97.736,1492.9,186.63,9.91,53.59,1192,8281.0,0
26057,39.96,4356.3,103.587,1914.53,1653.74,250.86,79.83,1201,26177.0,0
1914,189.64,2446.7,91.653,1228.98,157.4,2.11,46.54,372,1975.0,1
11423,64.67,3500.9,92.348,1890.82,381.23,7.92,40.2,155,11533.0,0
53741,132.33,4128.6,89.906,1778.48,3286.71,2.74,65.69,358,57169.0,0
4371,61.69,2543.8,93.414,1276.03,308.43,373.26,49.29,454,4321.0,0
28424,36.5,4084.7,102.404,2016.54,1870.99,441.65,71.34,1091,28857.0,0
4390,75.49,2439.0,94.169,1310.49,347.09,389.24,46.57,415,4345.0,0
64134,63.27,4650.8,95.865,1864.04,4667.31,634.59,80.79,550,64806.0,0
8716,763.2,2801.6,95.974,1279.49,271.18,9.35,59.14,1053,8760.0,0
40867,130.6,4408.9,92.454,1804.01,2827.21,1.65,69.09,451,39736.0,1
57477,73.84,4360.6,94.281,1753.86,3545.06,683.24,80.52,518,54687.0,0
47628,48.2,4651.9,95.565,1799.03,3956.62,512.12,72.38,584,48871.0,0
6725,1.18,2500.7,100.161,1632.38,138.38,17.71,22.6,1356,6678.0,0
8874,1.12,2797.8,96.723,1701.69,206.61,27.21,20.39,1395,8885.0,0
7635,554.48,2852.9,96.989,1340.7,231.27,7.8,53.99,1065,7901.0,0
9853,158.45,2615.3,94.334,1315.05,818.33,1.0,69.72,665,9708.0,0
43173,649.52,4450.0,103.389,1925.48,3169.58,950.59,96.23,695,45506.0,0
2577,110.42,2428.0,92.393,1249.32,311.62,910.35,44.74,354,2583.0,1
20496,327.47,3863.2,106.295,1633.12,1572.89,938.65,86.53,903,20626.0,0
21637,115.81,3858.8,106.04,1739.61,1238.15,1.18,102.73,787,20561.0,0
7723,272.15,2795.1,94.505,1224.54,450.56,1.32,67.89,744,7412.0,0
8177,242.21,2798.1,93.273,1221.8,456.64,1.38,70.13,751,8215.0,0
6619,179.92,2698.9,94.274,1241.97,475.7,1.91,73.94,723,6366.0,0
5598,65.64,2554.7,93.239,1285.19,315.65,671.49,51.88,465,5759.0,0
7208,518.4,3133.2,97.265,1474.85,143.51,10.93,58.76,1250,7235.0,0
1277,31.03,2368.0,99.315,1225.96,19.51,316.91,53.2,240,1271.0,0
3816,2.31,2782.5,96.128,1313.05,135.47,16.08,57.22,964,3814.0,0
7185,1.32,2657.7,99.692,1648.95,164.71,35.79,23.63,1368,7332.0,1
43662,70.19,4697.8,101.338,2029.19,2202.19,440.35,74.22,1318,42259.0,0
8540,784.05,2855.8,100.155,1585.12,217.99,17.17,44.76,1331,8543.0,0
1286,58.91,2386.8,95.221,1269.05,57.31,530.34,49.62,291,1264.0,0
21994,455.69,3846.3,101.972,1867.83,1580.24,1.06,76.68,1035,20467.0,0
41567,95.49,4451.5,96.619,1807.49,2994.99,908.75,92.31,634,37287.0,0
8167,469.73,2973.6,97.853,1481.17,180.59,11.45,52.81,1193,8353.0,0
11415,601.93,2968.0,97.668,1399.95,304.88,8.43,57.51,1093,11268.0,0
17093,167.2,3933.0,104.01,1796.63,1263.42,192.46,71.9,944,17127.0,0
6468,8.64,2903.3,95.516,1194.46,214.35,6.37,71.57,809,6445.0,0
27183,53.27,4110.3,103.799,2018.41,1817.11,405.84,71.11,1099,26920.0,0
6481,2.71,2833.7,94.191,1184.77,299.33,3.54,65.91,771,6379.0,1
30689,55.82,4335.0,102.654,1913.35,1889.51,386.05,67.7,1142,30267.0,0
30842,253.27,3845.1,90.142,1869.91,1117.33,2.76,53.13,255,35476.0,0
9207,1.04,3032.1,96.95,1492.69,181.67,12.75,55.81,1206,9529.0,1
59978,58.2,4095.5,90.17,1743.1,2151.42,1.97,59.32,335,59748.0,0
8630,872.12,2820.2,96.207,1284.89,264.68,10.06,58.77,1051,8027.0,0
10949,94.94,3384.4,92.564,1959.32,364.88,9.06,40.16,128,10785.0,0
26524,53.82,4478.7,104.832,1910.32,1626.49,293.64,90.16,1221,26223.0,0
19963,160.2,3847.2,106.016,1733.67,1096.43,1.34,104.09,791,20847.0,1
23027,156.96,4048.7,103.106,1927.34,1573.07,332.62,79.68,992,23074.0,0
7700,117.35,2577.6,89.861,1294.37,331.0,530.71,56.55,496,7853.0,1
42030,32.53,4881.5,103.421,2018.34,2256.92,216.93,78.01,1357,42120.0,0
52079,140.03,3900.4,91.905,1776.26,1847.95,1.69,61.14,282,49169.0,0
23146,169.62,4112.1,108.133,1794.08,1702.8,960.58,90.5,820,23816.0,0
29281,20.58,4564.0,102.35,1959.2,1861.81,167.77,80.58,1175,29353.0,0
20561,105.24,3809.4,106.316,1738.3,1186.45,1.42,98.53,786,20200.0,0
29913,90.81,4385.1,100.193,1910.8,1848.36,483.0,71.8,1151,30512.0,0
35513,105.46,4164.4,92.667,1763.34,2166.91,1.08,71.64,404,35749.0,1
46629,446.12,4539.2,102.073,1932.44,3520.41,547.68,103.28,693,46407.0,0
23465,249.26,3928.2,103.215,1836.0,1647.38,440.63,78.16,1025,23642.0,0
16829,178.96,3802.4,101.831,1833.19,1250.95,289.49,73.92,969,16852.0,0
4062,158.59,2437.8,92.64,1289.21,296.64,582.97,48.82,400,3871.0,1
14398,170.37,2682.7,90.156,1294.84,711.42,893.82,59.84,537,15416.0,0
9415,184.72,2659.0,93.504,1322.8,689.9,856.12,68.1,659,9352.0,1
1176,18.93,2328.9,97.202,1285.69,49.58,64.04,53.18,281,1177.0,0
6765,114.57,2733.5,94.264,1254.99,485.4,1.62,73.8,728,6617.0,0
11096,501.14,3204.1,92.709,1960.5,334.87,9.07,39.92,80,11105.0,0
17127,138.8,3629.3,89.819,1788.13,518.11,6.42,45.53,200,17162.0,1
4089,169.14,2433.7,93.366,1284.72,312.54,857.28,47.64,409,4005.0,0
965,54.67,2267.2,100.947,1210.63,10.71,250.34,52.81,206,920.0,0
54841,86.96,4181.8,89.959,1781.32,2746.54,1.74,63.86,352,55036.0,0
29866,42.4,4514.6,101.083,1978.71,1897.58,233.0,75.75,1163,30139.0,0
5575,122.02,2559.7,92.692,1281.17,313.45,885.21,52.04,466,5598.0,0
8210,305.45,2744.4,91.966,1325.0,612.09,990.48,60.96,613,9154.0,0
11856,430.93,3354.7,94.647,1943.6,416.05,6.23,42.58,101,11750.0,0
57799,129.63,3915.5,92.129,1721.41,1825.79,1.58,66.02,304,55851.0,0
65963,88.46,5194.4,103.997,2299.17,3310.62,426.57,85.43,1423,65439.0,1
23338,239.53,4253.1,109.255,1761.05,1834.18,1.1,88.11,828,23856.0,0
22525,279.72,3818.6,106.037,1709.01,1584.77,2.37,102.6,798,20785.0,0
9300,366.88,3136.2,92.872,1798.89,242.75,6.81,40.55,62,9233.0,0
49274,80.21,4524.7,94.293,1809.4,3786.19,928.7,69.99,479,48819.0,1
37017,91.82,4327.2,99.024,1905.63,2569.87,996.71,92.65,651,38355.0,1
3466,391.17,2650.3,95.05,1245.8,89.62,3.46,51.15,886,3407.0,0
7122,5.93,2830.9,99.048,1684.69,180.13,23.27,18.27,1380,7230.0,0
12808,197.72,3433.1,91.906,1924.49,391.2,13.61,40.03,163,11913.0,0
47738,31.24,4765.8,95.863,1828.39,3765.67,239.54,75.21,600,46219.0,0
48200,42.41,4288.5,93.743,1760.36,3417.34,642.59,75.88,510,47666.0,0
51469,76.63,4309.9,94.061,1759.96,3517.26,663.88,78.93,512,49227.0,0
7504,141.01,2740.5,93.706,1291.98,591.44,809.8,64.75,695,7729.0,0
40427,654.6,4200.8,104.02,1897.69,3006.04,807.69,98.54,714,39464.0,0
34076,241.93,3776.5,90.435,1855.63,1050.19,3.09,53.21,246,35544.0,1
9300,570.74,3050.7,96.58,1513.95,183.01,8.71,56.2,1211,9230.0,0
26601,36.47,4447.2,104.788,1923.57,1641.31,194.29,90.77,1222,26524.0,0
20295,248.04,4017.4,109.371,1737.82,1552.6,931.76,97.01,840,19550.0,0
2412,122.7,2413.5,93.229,1265.64,211.4,453.56,48.36,327,2303.0,1
10376,12.4,3349.6,93.066,1929.18,352.06,21.69,39.2,119,10296.0,0
30679,98.85,4341.3,102.587,1921.36,1891.97,428.03,69.16,1138,29890.0,0
4076,958.58,2441.2,95.973,1260.14,114.61,6.34,45.88,894,3687.0,0
9424,1.05,3001.2,98.027,1406.33,198.87,14.52,57.62,1102,10845.0,1
6686,136.71,2781.8,96.663,1222.68,213.46,16.84,69.75,830,6705.0,0
1022,106.45,2377.6,96.952,1229.15,43.17,1.69,48.78,253,971.0,1
39452,100.24,4372.5,92.951,1798.73,2300.22,1.25,71.65,442,37276.0,1
26777,27.95,4099.1,103.385,2011.15,1794.95,223.65,70.04,1097,26799.0,0
8529,113.76,2709.2,93.862,1292.5,716.02,702.63,71.28,680,8245.0,0
10815,508.75,2914.1,97.344,1440.7,220.89,6.99,55.66,1120,10520.0,0
20586,205.28,3721.6,105.016,1709.45,1192.75,1.86,95.78,794,20250.0,1
16047,286.76,2644.1,90.004,1248.14,442.19,1.12,57.36,517,16850.0,1
44420,90.67,4279.5,98.298,1943.22,2975.81,828.62,103.41,659,43188.0,1
7332,1.53,2574.6,100.429,1663.0,171.06,37.89,26.08,1367,6772.0,0
18658,110.63,3670.9,90.422,1837.61,567.91,48.95,46.26,207,19433.0,0
35476,153.61,3816.2,89.979,1870.91,1377.53,3.05,53.24,254,36002.0,0
9285,418.47,3136.2,92.872,1798.89,241.26,6.84,40.55,60,9235.0,0
50595,56.29,4632.0,95.553,1784.04,4307.08,550.78,72.05,575,50562.0,0
18546,129.72,3660.5,90.189,1839.11,573.21,9.1,45.52,212,18326.0,1
26761,32.75,4325.4,106.046,1868.65,1539.7,260.59,82.91,1249,26876.0,0
34477,45.2,4132.9,105.977,1995.88,1809.05,304.47,82.31,1267,34526.0,0
35815,62.2,4206.1,92.393,1889.97,2713.66,756.36,69.62,391,35520.0,1
13032,59.73,3440.4,91.741,1900.79,406.09,3.05,39.85,167,13117.0,0
11402,172.2,2647.3,91.805,1322.2,855.91,407.54,61.25,602,10827.0,0
7477,247.25,2799.8,94.358,1222.8,469.47,1.21,69.46,740,7383.0,0
55036,84.08,4176.2,90.03,1776.69,2665.24,1.45,62.94,351,54020.0,1
21100,110.7,3743.5,107.567,1822.43,1144.19,1.57,104.27,773,19965.0,1
41929,45.28,4704.7,101.796,2018.19,2220.41,349.63,71.43,1313,43025.0,0
27403,58.14,4113.6,104.136,1981.72,1821.73,376.26,72.83,1101,27035.0,0
3833,765.87,2795.0,96.073,1327.12,138.27,10.55,55.48,961,3755.0,1
59113,80.29,3915.2,91.834,1726.41,1849.06,671.56,65.61,307,61195.0,1
7412,204.16,2800.0,94.097,1231.76,459.02,918.81,70.46,743,7408.0,0
26845,46.45,4407.4,102.334,1950.12,1737.06,263.64,71.31,1134,26339.0,0
22582,126.66,3938.9,105.902,1726.46,1598.19,1.18,94.7,804,22460.0,0
28164,64.06,4086.9,101.245,2019.97,1870.52,658.37,80.71,1058,27802.0,0
8898,941.89,2933.6,97.165,1729.57,204.13,10.63,33.92,14,8728.0,1
2747,123.17,2471.1,93.129,1269.05,225.97,1.23,49.16,388,2883.0,1
47666,39.82,4288.5,93.743,1760.36,3388.97,778.15,75.88,509,48146.0,1
33901,47.33,4103.8,106.715,2005.78,1779.54,298.24,85.54,1264,34153.0,0
24839,363.02,4047.9,104.995,1841.14,1703.27,478.59,77.3,1015,24302.0,0
48994,63.54,4485.7,93.145,1790.68,3228.15,923.13,68.36,471,47714.0,1
4150,113.72,2420.7,93.289,1284.5,292.78,554.28,48.51,406,4105.0,1
58438,88.11,4551.7,96.474,1796.69,3921.93,1.07,82.66,534,60310.0,1
35467,87.73,4232.2,92.103,1876.64,2368.47,1.8,70.91,397,37314.0,0
29674,82.68,4223.0,106.352,1981.04,1603.89,343.61,88.75,1257,28723.0,0
34679,325.73,4151.7,91.861,1880.3,2101.34,3.52,63.58,377,37448.0,0
7444,220.22,2585.0,91.248,1281.3,307.5,1.17,56.81,487,7102.0,0
6379,3.15,2833.7,94.191,1184.77,293.89,4.31,65.91,770,6581.0,1
11452,136.06,2824.8,88.628,1358.15,1063.2,606.14,65.61,564,10903.0,0
51322,143.35,3853.5,90.76,1726.82,1586.54,1.54,58.56,318,52325.0,1
6489,5.18,2919.7,96.559,1207.58,224.42,4.47,70.8,803,6390.0,0
34678,148.8,4271.2,92.908,1780.34,1979.88,1.87,74.05,412,32243.0,0
44013,491.66,4465.2,100.061,1957.48,3109.25,699.58,112.34,682,42912.0,0
16441,207.93,3800.0,104.021,1787.44,1167.8,337.02,75.89,952,16741.0,0
7199,420.28,3212.0,98.552,1517.3,130.75,10.35,61.33,1271,7196.0,0
40003,148.92,4387.0,92.886,1806.88,2299.11,968.94,72.39,443,39452.0,1
3597,435.06,2577.4,96.1,1288.0,123.75,2.21,51.59,917,3616.0,0
4314,81.87,2528.8,92.859,1271.75,291.69,452.02,50.42,451,4401.0,0
7397,611.69,3234.4,98.344,1510.67,134.4,15.69,61.72,1268,7321.0,0
4859,14.77,2858.8,97.361,1293.15,163.47,36.03,62.58,997,4145.0,0
8198,604.74,2935.7,97.322,1493.6,179.87,10.95,52.75,1185,7881.0,1
1249,41.34,2344.5,95.868,1284.5,51.37,156.43,49.62,286,1238.0,0
43578,32.67,4736.8,100.654,2054.93,2271.38,298.17,73.79,1323,42981.0,0
10200,840.76,3001.9,97.49,1415.74,226.62,11.86,60.21,1100,11364.0,1
30291,17.06,4499.6,100.597,1954.93,1931.42,145.89,75.42,1160,30317.0,1
19345,112.17,2659.1,88.673,1255.26,683.25,703.29,57.3,525,17604.0,1
40552,72.63,4373.8,99.183,1897.27,2894.03,661.98,91.76,647,43883.0,0
6706,4.55,2876.9,95.8,1196.75,228.77,6.21,68.72,788,7377.0,0
2362,88.17,2441.7,91.889,1217.45,205.0,842.98,46.08,369,2403.0,1
13697,73.27,2769.6,89.227,1340.16,1273.4,481.87,64.73,555,13695.0,1
6154,240.6,2752.7,95.576,1269.28,454.81,2.64,68.58,715,6167.0,0
5636,224.12,2712.2,94.761,1221.47,177.01,43.39,56.46,860,5718.0,0
3821,1.74,2787.4,96.606,1293.56,135.72,9.73,55.8,965,3816.0,0
27264,98.72,4113.9,101.725,1982.89,1849.81,769.94,77.87,1075,28240.0,0
9317,937.97,3118.8,100.677,1635.38,246.96,20.31,49.9,1326,9662.0,0
19181,400.45,3579.7,111.42,1641.76,1296.74,734.03,85.61,886,19379.0,0
9160,489.84,3004.6,93.398,1771.47,229.67,6.96,38.49,46,9247.0,0
8344,188.03,2712.2,94.139,1291.03,706.53,978.18,71.49,676,8477.0,0
62056,80.15,4447.5,95.115,1764.6,3747.6,578.21,82.44,525,61527.0,0
9318,1.56,2816.8,97.124,1743.0,194.85,16.62,29.43,4,9778.0,1
27974,35.11,4274.9,106.53,1848.31,1732.89,245.32,90.79,1238,26962.0,0
22825,310.74,3710.9,90.182,1885.87,643.17,3.67,48.36,220,21352.0,1
14843,181.98,2644.1,90.004,1248.14,460.92,1.13,57.36,518,16047.0,1
43710,21.29,4736.8,100.654,2052.98,2308.61,266.3,73.56,1321,43968.0,0
31466,99.81,4489.4,99.988,1960.19,2004.77,588.53,76.89,1158,30387.0,0
18925,258.5,3647.5,113.071,1643.09,1317.0,559.42,78.74,866,19293.0,0
6510,97.17,2628.2,95.999,1233.59,204.58,13.99,67.59,839,6507.0,0
10131,463.85,2835.0,98.392,1526.85,190.15,8.38,54.17,1141,10388.0,0
6613,894.55,3191.0,97.321,1476.45,122.06,17.04,60.94,1256,6903.0,1
29903,32.59,4535.8,101.544,1960.23,1891.75,176.39,77.07,1166,29801.0,0
13278,144.18,3268.9,91.052,1877.06,388.14,9.96,37.39,170,13657.0,1
29578,49.67,4461.3,103.095,1914.59,1855.36,203.58,84.4,1185,29777.0,0
29475,121.63,4075.3,101.155,1987.87,1908.81,771.48,74.76,1081,28424.0,0
1047,61.43,2369.7,96.981,1233.9,42.06,875.0,48.22,254,1022.0,1
35544,251.04,3789.0,90.435,1844.66,1091.47,4.19,52.25,245,38192.0,1
9729,322.66,2913.3,97.598,1520.25,169.72,7.8,54.8,1149,9594.0,0
23271,162.33,4096.0,106.161,1771.73,1630.1,959.53,93.89,812,23303.0,0
9777,431.04,3196.0,96.025,1695.47,246.18,6.55,38.19,28,9742.0,0
9831,493.75,3012.6,97.857,1418.69,217.83,6.96,56.2,1112,9945.0,0
13657,128.64,3388.7,91.227,1906.83,403.15,6.29,39.57,169,13061.0,0
30415,55.24,4389.9,99.605,1924.99,1880.42,264.83,72.99,1155,30166.0,0
32496,309.65,4217.3,92.959,1778.51,1876.66,2.84,73.06,407,31692.0,1
57794,58.65,4625.3,96.039,1785.01,4443.22,532.66,69.95,567,57291.0,1
11462,513.06,3444.2,93.725,1954.03,385.96,6.69,43.39,107,11324.0,1
37298,131.7,4203.6,91.856,1906.36,2708.47,2.83,66.96,385,35652.0,1
23936,417.46,3969.2,105.592,1822.64,1650.52,529.75,75.39,1018,24186.0,0
1215,43.35,2335.1,96.717,1279.66,49.66,460.6,50.44,284,1206.0,0
6833,1.26,2820.4,98.36,1694.12,170.4,33.68,18.27,1381,7122.0,0
7985,588.87,2852.9,96.989,1340.7,248.98,7.41,53.99,1063,7784.0,0
37150,29.53,4353.3,104.265,1936.79,2053.42,405.96,77.17,1279,37303.0,0
52134,52.86,4999.5,104.182,2013.1,2801.8,401.19,79.19,1376,51901.0,0
4968,13.83,2865.2,97.346,1289.9,160.34,47.66,62.46,998,4859.0,1
8049,418.48,2945.5,97.608,1496.94,169.29,9.9,55.91,1177,8208.0,0
42138,255.83,4474.6,103.526,1945.85,3201.84,327.86,98.26,699,42767.0,0
11899,410.81,3361.6,93.639,1944.29,433.63,7.02,42.01,97,11845.0,0
64398,30.34,4650.8,95.865,1864.04,4644.61,290.27,80.79,551,64134.0,0
25823,27.13,4501.4,105.028,1938.19,1630.51,178.25,85.82,1211,25971.0,0
10179,769.12,2946.9,96.96,1399.05,294.72,11.06,57.43,1077,9517.0,0
57171,56.68,4659.9,96.515,1788.5,4273.54,595.96,78.39,562,57573.0,0
2424,66.32,2421.7,92.529,1241.6,255.0,716.32,46.04,357,2480.0,1
35652,104.18,4203.6,91.856,1902.64,2386.1,2.8,66.59,384,34584.0,1
2590,86.96,2431.1,91.93,1256.9,296.89,195.47,43.01,350,2710.0,0
7594,445.62,2681.3,89.114,1318.49,753.18,1.98,61.79,578,7701.0,1
11390,615.9,3326.4,93.171,1911.64,379.01,9.44,41.61,92,11889.0,0
40599,251.29,3783.6,90.378,1848.26,1215.73,2.71,52.24,242,39460.0,1
30387,65.87,4099.4,101.073,2039.73,2012.11,721.56,82.16,1067,29886.0,0
42172,54.12,4436.2,93.708,1749.85,2926.24,865.3,75.45,504,43203.0,0
10312,441.11,2864.7,98.327,1514.15,193.68,9.11,54.87,1135,10218.0,0
7502,144.52,2700.7,94.129,1298.32,577.87,922.24,67.04,691,7400.0,0
30445,49.57,4372.0,102.867,1908.15,1851.92,256.22,69.86,1144,30078.0,0
20126,275.08,3903.7,109.333,1696.09,1585.48,823.9,86.61,843,20043.0,0
3908,123.22,2503.2,93.677,1311.28,282.63,941.08,49.48,437,4100.0,1
46297,632.93,4507.6,101.494,1924.3,3456.18,649.92,99.27,690,45525.0,1
42851,48.18,4769.0,103.112,2048.72,2578.36,436.91,72.68,1342,42835.0,1
10371,568.77,2856.0,98.41,1526.35,188.34,9.02,53.64,1143,10136.0,0
11529,506.38,3379.3,94.269,1940.16,387.99,7.62,42.34,102,11856.0,0
40382,151.31,4390.8,103.489,1974.54,3058.96,245.47,106.95,705,40560.0,0
8173,269.23,2817.7,93.722,1231.61,472.03,1.38,69.3,746,8407.0,1
9081,314.1,3124.5,93.594,1775.05,227.98,5.41,40.28,55,9134.0,0
15886,869.57,3744.2,105.967,1706.32,1100.84,2.92,85.83,912,18527.0,1
9339,510.27,3155.3,93.625,1783.9,241.56,9.45,40.63,56,9081.0,0
6459,128.51,2717.9,95.46,1231.3,210.67,77.47,63.1,849,6478.0,0
11764,317.06,3328.7,93.06,2035.03,396.76,4.94,41.22,89,11592.0,0
21301,206.93,3943.5,104.73,1718.78,1438.52,1.65,96.7,805,22582.0,0
11667,89.69,2627.7,89.151,1266.55,451.87,656.34,57.62,514,11623.0,1
28723,50.1,4269.7,106.08,1973.7,1566.79,238.42,89.37,1256,28321.0,0
8726,748.32,3302.8,98.131,1552.79,164.36,16.24,58.52,1286,8818.0,0
10461,393.57,2972.5,96.645,1506.95,177.74,9.05,56.52,1155,10309.0,0
56483,115.49,4118.4,90.201,1777.25,2332.14,1.86,62.44,344,55646.0,0
11314,570.74,2900.2,97.487,1497.24,205.93,8.7,54.5,1127,12089.0,0
9193,651.68,3280.6,98.152,1552.55,188.93,11.56,49.61,1305,9296.0,0
6765,121.48,2763.9,96.177,1268.1,536.31,873.14,66.22,711,6752.0,0
6565,170.76,2774.1,95.913,1226.11,218.8,15.96,61.67,851,6502.0,0
1975,155.32,2446.7,91.653,1228.98,170.15,694.52,46.54,371,2234.0,1
16425,173.25,4020.8,104.799,1756.14,1193.38,306.64,76.28,930,16456.0,0
34742,55.69,4326.6,92.168,1786.79,2224.7,1.28,75.16,418,33813.0,0
13457,111.23,3259.8,90.645,1867.13,386.76,3.04,36.17,171,13278.0,0
8187,1.05,3260.9,98.81,1562.28,144.81,13.37,59.04,1280,7842.0,0
6825,257.53,2609.7,93.67,1325.0,378.75,1.24,64.94,631,6938.0,0
21517,228.65,4124.0,109.458,1747.67,1664.89,1.05,93.74,834,21416.0,0
3580,447.7,2617.3,96.379,1285.04,118.23,5.11,52.57,927,3536.0,0
6680,3.7,2862.3,95.083,1205.97,281.29,4.9,68.72,776,6521.0,0
37410,64.81,4545.1,103.105,1989.72,2063.05,506.35,77.1,1290,35813.0,1
12110,1.11,2984.6,97.11,1419.0,289.1,12.44,60.43,1096,12541.0,0
28036,51.29,4069.8,101.448,2008.02,1872.35,420.8,80.7,1060,28173.0,0
9692,720.62,2998.6,96.839,1728.3,243.63,14.34,35.49,19,9424.0,0
40482,493.05,4384.5,104.682,1951.49,2983.95,675.44,103.79,710,41368.0,0
8513,933.16,2957.7,97.359,1532.3,166.29,19.02,57.29,1172,9702.0,1
15483,94.99,3484.3,90.924,1951.51,454.68,4.82,37.14,181,14828.0,1
3870,186.54,2492.1,93.428,1323.25,275.48,1.57,49.3,431,4158.0,0
69871,58.99,5245.8,104.269,2232.38,3509.76,334.49,83.17,1418,70762.0,0
37874,75.51,4495.3,103.317,1959.09,2058.93,455.57,76.66,1283,35549.0,0
10568,504.45,2921.9,96.915,1552.6,174.79,7.55,56.26,1152,10612.0,0
9841,316.63,2697.8,90.255,1331.51,803.66,849.82,62.77,593,10473.0,1
26711,45.88,4156.2,104.074,1946.33,1827.8,290.89,72.67,1110,26475.0,0
7422,586.49,3000.4,97.246,1503.65,160.73,11.36,56.23,1202,7477.0,1
1962,98.76,2370.4,93.673,1255.55,124.4,900.72,50.33,314,1881.0,1
3638,539.93,2570.4,96.295,1291.73,127.53,3.86,50.51,919,3490.0,0
23427,382.86,4141.9,103.839,1912.37,1641.71,685.27,75.88,997,23725.0,0
1172,132.77,2377.2,97.069,1226.78,45.07,3.06,48.75,250,1253.0,0
7324,783.18,3099.3,96.636,1462.29,152.46,11.84,57.77,1232,7272.0,1
43551,93.98,4367.4,93.89,1767.91,3077.78,1.19,72.23,499,40651.0,1
23410,308.91,3860.7,105.266,1711.07,1543.5,2.18,104.22,799,22525.0,1
